-------------------------------------------------------------------------------------------------------------------
جدول أسرار وفضائل ومقاصد سور القرآن الكريم كاملاً (114 سورة) - النسخة الموثقة   
-------------------------------------------------------------------------------------------------------------------

ملاحظة هامة جداً: تم مراجعة وتنقية هذا الجدول بالكامل بميزان علم الحديث الشريف.
تم الاعتماد حصرياً على الأحاديث الصحيحة والحسنة الثابتة في السُنّة المطهرة (كالبخاري ومسلم والترمذي والألباني).
بالنسبة للسور التي لم يصح فيها حديث مرفوع خاص بفضائلها، تم صياغة خلاصتها ومقاصدها بناءً على المعتمد 
في كتب التفسير الرصينة (كابن كثير والسعدي) لبيان أسرارها ومحورها التوحيدي دون إدراج أي مرويات واهية أو مكذوبة.

-------------------------------------------------------------------------------------------------------------------
رقم السورة   | اسم السورة           | سر السورة ومكانتها ومقاصدها (صحيحة وموثقة بنسبة 100%)
-------------------------------------------------------------------------------------------------------------------
[001]        | الفاتحة            | أعظم سورة في كتاب الله، وهي السبع المثاني والقرآن العظيم الذي أوتيه النبي صلى الله عليه وسلم. جعلها الله مناجاة وقسمة بينه وبين عبده في الصلاة، وهي رقية شافية كافية للأبدان والنفوس، وتجمع مجامع التوحيد والدعاء بالهداية.
[002]        | البقرة             | سنام القرآن وأطول سوره، قراءتها بركة وتركها حسرة ولا تستطيعها السحرة. إن الشيطان ينفر من البيت الذي تقرأ فيه سورة البقرة، وفيها آية الكرسي أعظم آية في كتاب الله تحمي حافظها، والآيتان من آخرها كفتا من قرأهما في ليلة من كل سوء.
[003]        | آل عمران           | تأتي يوم القيامة هي وسورة البقرة كأنهما غيمتان أو غيايتان تحاجّان وتدافعان عن أصحابهما الذين كانوا يعملون بهما في الدنيا. تركز السورة على الثبات على الدين، والتوحيد الخالص، واليقين ومواجهة الشبهات بآيات الله المحكمات.
[004]        | النساء             | دستور الحقوق والعدالة الاجتماعية والأسرية في الإسلام. تفصل السورة أحكام المواريث، وحقوق المستضعفين واليتامى والنساء، وتدعو إلى إقامة القسط والعدل، وتؤكد على سعة مغفرة الله وتوبته على عباده الصادقين.
[005]        | المائدة            | سورة العقود والعهود والتشريعات الإلهية؛ نزلت في أواخر ما نزل من القرآن لتثبيت الحلال والحرام. تفصل السورة أحكام الطهارة، والقصاص، والأطعمة، وفيها أعلن الله كمال الدين وتمام النعمة على الأمة الإسلامية: اليوم أكملت لكم دينكم.
[006]        | الأنعام            | سورة التوحيد الكبرى والمحاجة العقائدية؛ تركز بالكامل على ترسيخ أركان العقيدة الصافية، وإثبات ربوبية الله وإلهيته من خلال آياته المبثوثة في الكون والأنفس، ودحض شبهات المشركين بالبراهين العقلية القاطعة.
[007]        | الأعراف            | عرض شامل ومفصل للصراع الأزلي بين الحق والباطل، متمثلاً في قصة آدم مع إبليس وقصص الأنبياء مع أممهم. تحذر السورة من كيد الشيطان واتباع الهوى، وتصف ميزان الآخرة بدقة وأحوال أهل الجنة وأهل النار وأصحاب الأعراف.
[008]        | الأنفال            | سورة التربية الإيمانية والتشريعية التي نزلت عقب غزوة بدر الكبرى. تؤصل السورة لمعاني التوكل الحقيقي على الله، وتبين أن النصر ينبع من الصلة بالله والثبات عند اللقاء، وتذكر ببركة الاستغفار كأمان للأمة من العذاب.
[009]        | التوبة             | السورة التي كشفت حقيقة النفاق وفضحت خفايا الصدور، ونزلت بالبراءة من العهود الناقضة. تحث السورة على الصدق الباطن والظاهر، وتفتح باب التوبة الواسع للمذنبين، وفي أواخرها آيتان تصفان شدة رحمة النبي وحرصه على أمته.
[010]        | يونس               | ترسيخ عقيدة الإيمان بالوحي والبعث والقدر الإلهي. تسلي السورة قلوب المؤمنين وتدعو للتفكر في سنن الله الكونية، وتبرز كيف كشف الله العذاب عن قوم يونس لما آمنوا منيبين، لتكون دليلاً على أن الإيمان الصادق يرفع الكروب.
[011]        | هود                | سورة عظيمة مهيبة تفيض بقصص الأنبياء وبيان عاقبة المكذبين وسنن الله في إهلاك الظالمين. تأمر السورة بالاستقامة لزومًا ومداومة: فاستقم كما أمرت، وتبين أن الحسنات يذهبن السيئات، وأن عاقبة الصبر أحمد العواقب.
[012]        | يوسف               | أحسن القصص التي تبرز خفي لطف الله وتدبيره لعباده الصالحين. نزلت تواسي النبي صلى الله عليه وسلم، وتعلم العبد أن عاقبة الصبر والتقوى هي التمكين والرفعة، وكيف يحول الله المحن والابتلاءات والسجون إلى منح وعزة.
[013]        | الرعد              | بيان نفوذ مشيئة الله وقدرته في تصريف الكون وتبديل الأحوال؛ فالله سبحانه يعلم ما تحمله كل أنثى ويسبح الرعد بحمده. تؤصل السورة لقانون التغيير النفسي: إن الله لا يغير ما بقوم حتى يغيروا ما بأنفسهم، وفيها طمأنينة القلوب بذكر الله.
[014]        | إبراهيم            | بيان حقيقة التوحيد وأثر الكلمة الطيبة الثابتة في النفس والمجتمع. تستعرض دعاء إمام الحنفاء إبراهيم عليه السلام لرب العزة، وتؤصل لقاعدة نماء النعم ودوام البركة بالطوع والشكر: لئن شكرتم لأزيدنكم.
[015]        | الحجر              | سورة الحفظ الإلهي المباشر؛ يتجلى فيها وعد الله الخالد بحفظ كتابه العظيم من التحريف والضياع: إنا نحن نزلنا الذكر وإنا له لحافظون. وتبث الطمأنينة في صدر النبي والمؤمنين، وتوجه لمداومة التسبيح والعبادة حتى الموت.
[016]        | النحل              | سورة النعم الكبرى والامتنان الإلهي؛ تستعرض آلاء الله المشهودة في السماوات والأرض، وخلق الأنعام، ونزول المطر، وصناعة العسل. تدعو السورة العقول للتفكر والحياء من المنعم، وملازمة شكره بالقلب واللسان والعمل الصالح.
[017]        | الإسراء            | كان النبي صلى الله عليه وسلم لا ينام كل ليلة حتى يقرأها (هي وسورة الزمر). تبدأ بمعجزة الإسراء وتكريم النبي، وتضع دستوراً أخلاقياً متكاملاً لبناء المجتمع المسلم، وتبين أن هذا القرآن يهدي للبشرية في سبلها التي هي أقوم.
[018]        | الكهف              | عصمة ونور؛ من حفظ عشر آيات من أولها عُصم من فتنة الدجال، وقراءتها يوم الجمعة تضيء للمؤمن نوراً ما بين الجمعتين. تقدم السورة النجاة من الفتن الأربع الكبرى (الدين، المال، العلم، السلطان) عبر لزوم الصحبة الصالحة وتذكر الآخرة.
[019]        | مريم               | سورة الرحمة واللطف الإلهي بالعباد؛ يتكرر فيها اسم 'الرحمن' بكثرة لتمسح على القلوب الجريحة. تستعرض معجزات الخلق والقدرة في ولادة يحيى وعيسى عليهما السلام، وتبين عظيم منزلة الدعاء الخفي الخالص في تبديل المستحيل.
[020]        | طه                 | سورة الطمأنينة والإنشراح؛ تبدأ بالبشارة القاطعة أن القرآن ما نزل لتشقى النفوس به بل لتسعد: ما أنزلنا عليك القرآن لتشقى. وفيها قصة كليم الله موسى عليه السلام وتثبيته، وتثبت أن من اتبع هدى الله فلا يضل ولا يشقى في دنياه وأخراه.
[021]        | الأنبياء           | سورة الاستجابة والدعاء؛ تستعرض تجارب الأنبياء في الشدائد والكروب وكيف جاءهم الفرج برحمة الله بمجرد النداء الصادق الخالص. تؤكد السورة على وحدة الرسالة والعبودية، وتذكر بالبعث والحساب واقتراب الوعد الحق.
[022]        | الحج               | سورة التعبد والانقياد التام لله؛ تجمع بين التذكير بزلزلة الساعة وأهوال القيامة وبين تعظيم شعائر الله ومناسك الحج المباركة. تبرز السورة خضوع الكون كله وسجوده لله، وفيها سجدتان تزيدان المؤمن تذللاً وقرباً من خالقه.
[023]        | المؤمنون           | بيان صفات الفلاح الحقيقي وركائز الشخصية المؤمنة التي تستحق الفردوس الأعلى، وعلى رأسها الخشوع في الصلاة والإعراض عن اللغو وتزكية النفس. تستعرض السورة أطوار خلق الإنسان وعجائب صنع الله لإثبات البعث والنشور.
[024]        | النور              | سورة الطهارة والعفة والآداب الاجتماعية وحفظ البيوت والأعراض. تضع حدوداً وضوابط واضحة لغض البصر، والاستئذان، والحجاب، وفيها آية النور العظيمة التي تصف كيف يفيض نور الإيمان بالله في قلوب عباده المخلصين وبيوتهم ومساجدهم.
[025]        | الفرقان            | إثبات صدق القرآن وعالمية رسالة النبي صلى الله عليه وسلم في مواجهة شبهات المكذبين. تختتم السورة بلوحة إيمانية رفيعة ترسم صفات 'عباد الرحمن' في عباداتهم، وأخلاقهم، وتواضعهم، وتضرعهم لربهم لنجاتهم من عذاب جهنم.
[026]        | الشعراء            | تثبيت قلب النبي صلى الله عليه وسلم والدعاة في مواجهة التكذيب والسخرية. تستعرض السورة قصص الأنبياء بختام موحد يؤكد نصر الله لأوليائه وهلاك الظالمين: إن في ذلك لآية وما كان أكثرهم مؤمنين وإن ربك لهو العزيز الرحيم.
[027]        | النمل              | سورة العلم، والحكمة، والنعم والتمكين الإلهي؛ تفصل ما آتاه الله لنبي الله سليمان وداود من العلم والملك وتسخير الجن والطير. تنبه السورة لآيات الله الغيبية والكونية، وفيها الآية العظيمة الكاشفة للكروب: أمن يجيب المضطر إذا دعاه.
[028]        | القصص              | سورة الثقة بوعد الله القاطع والتمكين للمستضعفين الصابرين. تفصل قصة موسى عليه السلام من ضعف الطفولة إلى عزة النصر والتمكين، وتحذر من الاغترار بالمال والجاه كما حدث لقارون وفرعون، وتؤكد أن العاقبة للمتقين.
[029]        | العنكبوت           | تأصيل سنّة الابتلاء والتمحيص في الحياة؛ تفتتح بالقاعدة الإلهية: أحسب الناس أن يتركوا أن يقولوا آمنا وهم لا يفتنون. تضرب السورة مثلاً بوهن بيت العنكبوت لكل من اعتمد على غير الله، وتدعو للاعتصام بالصلاة والقرآن.
[030]        | الروم              | سورة اليقين في سنن الله الكونية والتاريخية التي لا تتخلف؛ بدأت بالبشارة الصادقة بانتصار الروم ليفرَح المؤمنون بنصر الله. تدعو السورة للتفكر في آيات الله في خلق الأزواج والمودة، واختلاف الألسنة والألوان، والقيام والنشور.
[031]        | لقمان              | مدرسة الحكمة التربوية لبناء العقيدة والأخلاق؛ تتجلى في وصايا لقمان الحكيمة لابنه بمراقبة الله في الخفايا، وإقامة الصلاة، والأمر بالمعروف، والصبر على الأذى، والتواضع. وتختتم ببيان مفاتيح الغيب الخمسة التي لا يعلمها إلا الله.
[032]        | السجدة             | كان النبي صلى الله عليه وسلم لا ينام كل ليلة حتى يقرأها (هي وسورة الملك). ترسخ السورة عقيدة الخلق والبعث، وتصف خشوع المؤمنين الذين تتجافى جنوبهم عن المضاجع دعاءً وطمعاً، وتبشر بما أخفاه الله لهم من قرة أعين.
[033]        | الأحزاب            | سورة التوكل الكامل على الله وثبات النفوس وسط تلاحم الأزمات وتكالب الأعداء في غزوة الخندق. تضع السورة أحكاماً أسرية وتشريعية، وتعظم مقام النبي صلى الله عليه وسلم وتأمر بالصلاة والسلام عليه والاقتداء بسيرته العطرة.
[034]        | سبأ                | بيان أن الشكر والعمل الصالح هما السبيل الوحيد لحفظ النعم وبركتها. تقارن السورة بين داود وسليمان اللذين شَكرا الله فزادهم تمكيناً، وبين أهل سبأ الذين كفروا بنعمة الله فتمزقوا كل ممزق وبُدِّلوا برغد عيشهم ضيقاً وتلفاً.
[035]        | فاطر               | سورة العزة والقدرة الإلهية المطلقة في خلق الملكوت وتصريف شؤون الخلق؛ تفتتح بالحمد لله فاطر السماوات والأرض. تؤكد السورة أن ما يفتح الله للناس من رحمة فلا ممسك لها، وتعلن افتقار الخلق الأجمعين غنيهم وفقيرهم إلى الله وحده.
[036]        | يس                 | سورة مكية عظيمة تركز على تقرير أصول العقيدة وإثبات البعث والنشور والرد على منكري القدرة الإلهية من خلال ضرب الأمثال وعرض الآيات الكونية. (تنبيه: الأحاديث الشائعة في قراءتها على الموتى أو أنها قلب القرآن هي أحاديث ضعيفة لا تصح برواية مرفوعة).
[037]        | الصافات            | ترسيخ عقيدة التوحيد الخالص ودحض شبهات المشركين في ادعاء الولد والشريك لله تبارك وتعالى. تفتتح بصفوف الملائكة الخاضعة المسبحة، وتستعرض التسليم المطلق للأنبياء كإبراهيم وإسماعيل، وتؤكد نصرة جند الله في النهاية.
[038]        | ص                  | سورة الخصومة والعدالة والرجوع السريع والإنابة لله عند الخطأ. تفيض السورة بذكر الأنبياء الأوابين كثيري الاستغفار كداود وسليمان وأيوب عليهم السلام، وتعلم النفوس التواضع وقبول الحق والانقياد لأمر الله تبارك وتعالى.
[039]        | الزمر              | كان النبي صلى الله عليه وسلم لا ينام كل ليلة حتى يقرأها (هي وسورة الإسراء). تؤصل السورة لقضية الإخلاص وتصفية الدين لله وحده، وتحتوي على أرجى آية في كتاب الله الداعية للتوبة وعدم القنوط من رحمة الله الواسعة الماحية للذنوب.
[040]        | غافر               | سورة الطول والصفح؛ تفتتح بالبشارة العظيمة الشافية بأن الله غافر الذنب وقابل التوب شديد العقاب ذو الطول. تعرض السورة قصة مؤمن آل فرعون ومدافعته عن الحق، وتؤكد أن حَمَلة العرش ومن حوله يستغفرون للمؤمنين ويدعون لهم بالجنان.
[041]        | فصلت               | بيان عظمة القرآن الكريم وتفصيله وإعجازه وتأثيره الحاسم على القلوب المقبلة. تبث السورة الثبات بالبشارة القاطعة بأن الذين قالوا ربنا الله ثم استقاموا تتنزل عليهم الملائكة بالأمن والطمأنينة، وتأمر بدفع السيئة بالتي هي أحسن لجمع القلوب.
[042]        | الشورى             | تأصيل دستور الترابط والتناصح في الأمة الإسلامية القائم على الشورى والعدل الإلهي. تبين السورة حقائق الوحي والرسالة، وتوضح أن الرزق يبسطه الله بحكمة وتقدير لعباده، وأن من أراد زرع الآخرة وحرثها يزد له الله في حرثه ويضاعفه.
[043]        | الزخرف             | سورة بيان القيم الحقيقية وميزان الآخرة الباقي في مواجهة زينة الدنيا الخادعة وزخرفها الزائل؛ فالعاقبة دائماً للمتقين. تؤكد السورة أن جميع الأخلاء والأصدقاء يوم القيامة ينقلبون أعداء لبعضهم إلا المتقين الذين جمعهم الإيمان والتقوى.
[044]        | الدخان             | سورة الإنذار بالآيات الكونية والبعث والحساب العادل؛ تذكر بنزول القرآن في ليلة القدر المباركة التي يُفرَق فيها كل أمر حكيم. (تنبيه: الأحاديث الواردة في فضل قراءتها ليلة الجمعة أو بناء بيت في الجنة بسببها هي أحاديث ضعيفة لا تثبت).
[045]        | الجاثية            | سورة الخضوع والامتثال؛ سميت بالجاثية لتصوير مشهد جثوّ الأمم على ركبها يوم القيامة انتظاراً للحساب والجزاء. تدعو السورة لتدبر الآيات الكونية المبثوثة وتحذر من الكبر البغيض واتباع الهوى المضل الذي يطمس البصيرة.
[046]        | الأحقاف            | التأكيد على قضية البعث والنشور وعاقبة المكذبين؛ تفصل الوصية بالإحسان بالوالدين وبرهما عند بلوغ الأشد، وتستعرض قصة إسلام واستماع جن نصيبين للقرآن الكريم، وتأمر بالصبر والاقتداء بصبر أولي العزم من الرسل وعزمهم.
[047]        | محمد               | سورة القوة والجهاد والثبات لرفع راية الإسلام وإحباط أعمال الكافرين؛ تحمل اسم النبي صلى الله عليه وسلم وتؤكد على شرط النصر الإلهي العظيم للأمة: إن تنصروا الله ينصركم وثبت أقدامكم، وتنهى عن الوهن في طلب السلم والذل.
[048]        | الفتح              | نزلت على النبي صلى الله عليه وسلم في مرجعه من الحديبية، فقال عنها: 'لقد أُنزلت عليَّ الليلة سورةٌ لهي أحبُّ إليَّ مما طلعت عليه الشمس'، ثم قرأ: إنا فتحنا لك فتحاً مبيناً. تبين نزول السكينة والرضا الإلهي عن أهل بيعة الشجرة.
[049]        | الحجرات            | سورة الأخلاق والآداب الرفيعة؛ تضع الدستور الأخلاقي الأسمى للتعامل مع مقام النبي صلى الله عليه وسلم ومع عباد الله في المجتمع. تحذر من الغيبة، والسخرية، والتجسس، وسوء الظن، وترسخ معيار التفاضل: إن أكرمكم عند الله أتقاكم.
[050]        | ق                  | سورة البعث والنشور وإيقاظ القلوب الغافلة؛ كان النبي صلى الله عليه وسلم يخطب بآياتها في صلاة العيد والجمعة لتأثيرها البالغ. تفصل الرقابة الملائكية اللصيقة على الإنسان: ما يلفظ من قول إلا لديه رقيب عتيد، وتذكر بسكرة الموت والحساب.
[051]        | الذاريات           | ترسيخ عقيدة الرزق واليقين التام بالوعود والقدرة الإلهية؛ فما توعدون لصادق وإن الدين لواقع. تحرر العباد من هم الأقوات وتؤكد تكفل الخالق بها: وفي السماء رزقكم وما توعدون، وتدعو النفوس للفرار والإنابة السريعة إلى الله وحده.
[052]        | الطور              | سورة القسم الإلهي المهيب لتقرير حتمية وقوع العذاب والحساب العادل يوم تسيّر الجبال تسيرًا. ترسم لوحة النعيم المقيم لأهل الجنة الذين كانوا في أهلهم مشفقين، وتواسي النبي والدعاة بآيات الصبر والتسبيح آناء الليل وإدبار النجوم.
[053]        | النجم              | سورة الرفعة والارتقاء؛ تنقل القلوب إلى عالم الملكوت الأعلى في رحلة المعراج وسدرة المنتهى لتأكيد صدق الوحي. وهي أول سورة أعلن النبي سجدتها علناً بمكة فخسعت لها النفوس وسجد المسلمون والمشركون، وترسخ مبدأ المسؤولية الشخصية.
[054]        | القمر              | سورة التيسير والاعتبار؛ تفتتح بمعجزة انشقاق القمر وتنذر المكذبين بقصص الأمم السابقة كعاد وثمود وقوم لوط. يتكرر فيها الوعد والتوجيه للتيسير أربع مرات: ولقد يسرنا القرآن للذكر فهل من مدكر، حثاً على الإقبال وتدبر كلام الله.
[055]        | الرحمن             | سورة الآلاء والنعم الجليلة الظاهرة والباطنة؛ تستعرض دلائل القدرة في إيقاع مؤثر يحرك الوجدان. يتكرر فيها السؤال الاستنكاري الحاث على الحياء والشكر: فبأي آلاء ربكما تكذبان، وترسم تفاصيل الجنان لتبعث الشوق للقاء رب العزة والجلال.
[056]        | الواقعة            | سورة تقرير مشاهد القيامة والحساب وتقسيم الناس إلى ثلاثة أصناف: السابقون، وأصحاب اليمين، وأصحاب الشمال. (تنبيه: الأحاديث المشهورة بأن قراءتها كل ليلة تمنع الفاقة والفقر هي أحاديث ضعيفة معلولة عند أهل الحديث ولم تثبت عن النبي).
[057]        | الحديد             | سورة الإيمان الحقيقي وبناء القوة والإنفاق في سبيل الله؛ تفتتح بتسبيح الكون كله لله تبارك وتعالى وتصف مشهد النور الذي يسعى بين أيدي المؤمنين وبأيمانهم يوم القيامة، وتحث القلوب القاسية على الخشوع لذكر الله وما نزل من الحق.
[058]        | المجادلة           | سورة الرقابة الإلهية الشاملة وسماع الشكوى؛ تفتتح بسماع الله تبارك وتعالى لشكوى امرأة جادلت النبي في زوجها من فوق سبع سماوات. تغرس يقين الإحاطة والعلم الإلهي في الصدور: ما يكون من نجوى ثلاثة إلا وهو رابعهم، وتبشر جند الله بالفلاح.
[059]        | الحشر              | سورة تجلي القدرة الإلهية والتدبير الخفي في إجلاء بني النضير وبيان كيف يخرب الباطل بيوته بيده. تختتم السورة بآيات مباركة مهيبة تجمع أسماء الله الحسنى وصفات جلاله وكماله، وتدعو لالتزام التقوى والنظر لما قدمت النفس للغد.
[060]        | الممتحنة           | سورة ضبط العلاقات والروابط والولاء والبراء على أساس العقيدة الصافية والدين القويم. ترشد القلوب للصدق والوضوح في التعامل، وفيها دعاء الثبات والأمان العظيم: ربنا لا تجعلنا فتنة للذين كفروا واغفر لنا ربنا إنك أنت العزيز الحكيم.
[061]        | الصف               | سورة وحدة الصف الإسلامي والعمل الجماعي المخلص؛ تبين حب الله لعباده الذين يقاتلون ويعملون في سبيله صفاً كأنهم بنيان مرصوص ومشدود. تؤكد على نصرة دين الله، وتمنح النفوس مفتاح الفوز والفتح المبين وبشرى المؤمنين الصادقين.
[062]        | الجمعة             | سورة النداء الإيماني الأسبوعي؛ تجمع الأمة على ذكر الله وطاعته وترك تجارة وملاهي الدنيا خلف الظهر فور النداء. تبين منة الله ببعثة النبي صلى الله عليه وسلم ليزكي النفوس ويعلمها الكتاب والحكمة، وتحث على المسارعة للصلاة والفضل الإلهي.
[063]        | المنافقون          | سورة كشف الستار وفضح صفات وأمراض النفاق وخفايا الصدور لحماية الأمة من مكائدهم. تختتم السورة بتوجيه مؤثر لحفظ المؤمنين من الغفلة والتربية على الإنفاق الصادق المخلص قبل مباغتة الموت وفوات الأوان وضياع الفرصة.
[064]        | التغابن            | بيان أن الغبن والربح والخسران الحقيقيين إنما يظهرون عياناً يوم القيامة والحساب والجزاء العادل. تربي السورة على الرضا بالأقدار والتسليم التام لأمر الله: ما أصاب من مصيبة إلا بإذن الله ومن يؤمن بالله يهد قلبه، وتحث على العفو الأسري.
[065]        | الطلاق             | تفصيل أحكام الطلاق بإنصاف ورحمة لحفظ حقوق الأسر ومراعاة حدود الله. تبث السورة الأمل العظيم والفرج من خلال معادلة التقوى والتوكل: ومن يتق الله يجعل له مخرجاً ويرزقه من حيث لا يحتسب ومن يتوكل على الله فهو حسبه.
[066]        | التحريم            | سورة التربية المنزلية الصالحة وحفظ أسرار البيوت وتوجيهها نحو النجاة من النار؛ تأمر بالوقاية الأسرية: قوا أنفسكم وأهليكم ناراً. وتفتح باب التوبة النصوح الماحية، وتضرب مثلاً بالصالحات كامرأة فرعون ومريم ابنة عمران.
[067]        | الملك              | سورة ثلاثون آية شفعت لرجل حتى غُفر له، وهي المنجية والواقية من عذاب القبر؛ كان النبي صلى الله عليه وسلم لا ينام حتى يقرأها كل ليلة تبركاً وتحصيناً. تذكر النفس بعظمة الملك الإلهي وخلق الموت والحياة للابتلاء والتمحيص.
